userName,score,at,content
Nimas Maulidia,5,2022-05-13 07:16:01,"Aplikasi ajaib cukup informatif dan lengkap terutama bagi pemula yang ingin belajar investasi dengan tampilan yang mudah dipahami, Semoga ajaib terus memberikan yang terbaik bagi pengguna dan bisa lebih baik lagi kedepannya"
Nur Azizah Afifatul Ulah,5,2022-05-11 14:14:19,"Aplikasinya bagus dan cocok untuk pemula yang mau melatih untuk menabung dan berinvestasi, fiturnya mudah dipahami dan lengkap."
Dhea Adelia,5,2022-05-10 00:36:33,"Desain aplikasi menarik, fitur yang diberikan juga sudah lengkap dan mudah dipahami sehingga memudahkan pengguna terutama bagi pemula yang ingin memulai investasi."
Nurin Salam,5,2022-05-10 00:33:37,"aplikasinya ringan banget untuk penyimpanan di hp, tampilan aplikasinya juga mudah dipahami dan tentunya sangat direkomendasikan untuk pemula"
Titah Raharjo,3,2022-05-09 03:01:55,"Aplikasinya bagus, cuma sering gonta ganti Interface. Bikin bingung usernya :) Menu transaksi yg semula di Baris bawah sekarang pindah jadi satu ke menu portofolio di bagian atas."
Jan Jin Jun,5,2022-05-06 11:56:24,"Tampilan ui nya enak mudah dipahami, pemula seperti saya mungkin ga akan bingung, fitur fiturnya juga cukup informatif, cocok untuk users friendly"
3A_D-IV Putri sonya Simanjuntak,5,2022-05-05 10:04:16,Apk nya bagus. Cukup lengkap dan mudah dipahami sehingga mudah digunakan oleh pemula. Analisas-analisa nya cukup lengkap dan bermanfaat.
099_Riza Muhammad Fajar,5,2022-05-04 07:50:34,"aplikasi ini menarik, mudah dipahami, cukup lengkap, it's okeyy. sudah disiapkan juga mengenai berita, teknikal, analisis fundamental hingga sentimental. good job, semoga kedepannya lebih bagus lagi, lebih lengkap. best!!!"
flintz thdz,4,2022-05-03 10:31:49,"Halo min..ini aplikasi saya tiba2 gak bisa kebuka dan lupa password untuk bikin password baru tidak bisa login udah saya coba berkali2, apakah harus nunggu untuk login setelah bikin password baru Atau password coba bikin password ulang berkali2 ampe bisa login lagi..makasih"
dewii kencana,5,2022-04-30 14:11:23,"Aplikasi yang sangat membantu!! Sangat cocok untuk yang ingin belajar atau cari info tentang investasi, khususnya untuk para pemula. Selain itu cara-cara yang dijelaskan cukup mudah dipahami! nama aplikasinya sangat cocok, karena aplikasi ini benar-benar ajaib! MANTUL!!"
hanum indrianii,5,2022-04-30 05:07:42,"Aplikasinya sangat membantu untuk pemula dalam pembelajaran atau berinvestasi, kelebihan lainnya yaitu mudah dipahami dan terdapat fitur & chart yang sangat membantu, proses nya sangat cepat dan pastinya aman."
HJPW Siregar,2,2022-04-29 04:14:54,"Sbnarnya sy suka dg tampilan/UI en fitur2 apps ini. Masalahnya, registrsi en pmeriksaan data diri aja >3 mggu gk beres2, tanpa kepastian, tnp kejelasan. Ktnya trhambat pd proses di pihak k3 yg bkrjasama, alasan yg tdk bs diterima di era canggih/digital. Proses awal udh gk enak/ gk lncar, sy putuskan pake aplikasi lain.. Maaf dan TK"
YUSUF,1,2022-04-25 09:49:53,"Daftar ajaib. Sudah hampir sebulan lebih tidak juga diverifikasi. Alasan karena terkendala di pihak ketiga tapi dari pihak ajaib tidak ada prosedur penanganan. Ini sama saja bunuh diri serahkan data pribadi tapi tidak jelas peruntukkan bahkan tidak ada kepastian akun akan diverifikasi utk bisa transaksi. Buat yang mau daftar, silahkan difikirkan dulu, ya kalo langsung diverifikasi, kalau dikasih harapan doang dg alasan kendala pihak ketiga. Data pribadi anda gk aman. Semoga didengar sama ni ceo"
Shadrina Fairuz,5,2022-04-25 02:53:44,"Aplikasinya bagus dan cocok untuk pemula yang mau melatih untuk menabung dan berinvestasi, fiturnya mudah dipahami dan lengkap. Semoga fitur fiturnya makin ditingkatkan lagi menjadi lebih baik. Recomended banget pokoknya 👍"
Bayu Nugraha H,5,2022-04-24 15:59:22,"Aplikasinya bagus, pengoperasian mudah dan antarmukanya bagus. Panduannya mudah dimengerti."
Feby Dwi Yohana,3,2022-04-23 22:55:22,"Sangat bagus apinya..cuman lebih di-update untuk penarikan dana lewat ewallet kalau bisa ditambahi fiturnya terima kasih..karena masyarakat lebih banyak pakai e wallet..apalagi milenial pelajar pasti semua punya..dimana ajaib mengajak pemuda Indonesia berinvestasi sejak dini, tapi fasilitas kurang didukung..mohon diperbaiki terima kasih karena tidak semua pelajar punya rekening bank"
020_ Muhammad Hafidz Nooradillah,5,2022-04-23 08:35:51,"Aplikasinya sangat membantu saya sebagai pemula dalam melatih diri untuk menabung dan berinvestasi,serta mudah dipahami fitur fitur yang ada. Semoga bisa selalu ditingkatkan kembali semua fiturnya! ✨"
Muhammad Rifqi,1,2022-04-23 01:06:16,"Saya sudah daftar tapi lupa melampirkan dokumen selama 180 hari sudah chat cs ajaib malah tidak di kasih solusi malahan disuruh inves Reksadana, padahal saya siap ubah data kalau ada yang malah tidak ada solusi sama sekali, aplikasi buruk percuma ada customer servis kalau nggak di kasih solusi"
Alinda Kusuma,5,2022-04-21 18:49:05,"Ajaib sangat membantu saya dalam belajar berinvestasi dan sangat cocok untuk pemula, fitur-fiturnya lengkap dan mudah dipahami, serta tampilan UI nya yang user friendly, semoga kedepannya Ajaib bisa terus lebih baik."
Farid Ardi Prasetyo,5,2022-04-20 09:43:20,Aplikasinya lumayan ok. Cukup lengkap dan mudah dipahami bagi pemula seperti saya. Pergerakan Grafik dibuat realtime seperti apk lain. Terima kasih.
Nurur Rofi'ah,5,2022-04-19 16:29:02,Aplikasinya lumayan ok. Cukup lengkap dan mudah dipahami bagi pemula seperti saya. Pergerakan Grafik dibuat realtime seperti apk lain. Terimakasih.
Cori Amelia Putri,5,2022-04-19 15:41:47,"Aplikasinya sangat membantu saya sebagai pemula dalam melatih diri untuk menabung dan berinvestasi, mudah dipahami juga fitur-fiturnya. Hihi yuk anak muda jangan lupa berinvestasi sejak dini ya, udah banyak teknologi yang memudahkan kita buat belajar banyak hal nii, terutama lewat aplikasi ajaib ini.."
Dewi Mustika,5,2022-04-19 15:05:38,"Aplikasi yang dapat membantu dalam pembelajaran atau berinvestasi, sangat aman dan efektif. Penggunaan aplikasinya pun mudah, sehingga pengguna tidak kesulitan dalam menggunakan aplikasi tersebut. Untuk fitur jga mdh untuk diphami. Untuk kedepannya tingkatkan kualitas menjadi lbih baik lgi dan semkin bnyak lgi penggunanya shingga bisa bermanfaat bgi orang""."
Annisa Amalina,5,2022-04-19 11:13:09,Aplikasinya bagus dan informatif selain itu pengoperasiannya sangat mudah dalam membeli dan menjual saham serta fitur-fitur lain yang sangat mudah untuk dimengerti dan mudah untuk dipahami bagi pemula terutama mahasiswa seperti saya yang ingin belajar berinvestasi. Jadi lebih mengerti tentang investasi saham. Semoga ajaib tetap memberikan yang terbaik bagi penggunanya
Catherine Yoke Wijaya,5,2022-04-19 05:15:52,"Bagus untuk pemula..cocok ..detail"" nya tidak rumit bagi pemula seperti saya..Lumayan menambah cuan bila saham yg dibeli tepat..grafik mudah dipahami"
haidar jati,4,2022-04-19 04:58:08,"Apknya bagus, fiturnya mudah dipahami karena ada petunjuk yang jelas, informatif bagi kita yang awal mau mencoba berinvestasi. Semoga kedepan apknya bertambah baik"
Armyar,4,2022-04-17 20:41:51,"lumayan lengkap fiturnya, mudah dipahami pemula. overall bagus tapi apl sering bug trutama klo diluar jam kerja bursa. entah porto,RDN,riwayat transaksi sering eror ga keluar. udah clear ceche jga.. hmmm"
Hanung Hanindhito,5,2022-04-17 14:16:55,"Aplikasi yang bagus, panduan yang mudah di pahami dan pengoperasian yang baik. Membuat pemula seperti saya sebagai mahasiswa dapat belajar tentang investasi saham. Semoga aplikasi ini dapat lebih baik lagi untuk kedepannya!!!"
Benedictus Raihan Darryl,5,2022-04-16 12:05:30,"Memang bener2 ajaib sih ini, buat mahasiswa yang mau investasi sangat recommend lah, gampang dipahami juga cara aplikasi nya dan pengoperasiannya , ada teknikal, chart, watchlist, tampilan UI sangat bersih dan user friendly banget, lumayan lengkap buat investasi saya sebagai mahasiswa, biaya free brokernya lebih rendah 50% dri yg lain juga mantap abis AJAIB !!!"
Budi Anto (Budianto),2,2022-04-15 02:39:05,Mencoba Verifikasi dibagian tanda tangan malah koneksi internet kurang stabil. Padahal memadai dan sudah pindah Wifi. Mencoba mendaftar melalui Web Ajaib login/ sign up malah diarahkan suruh download Aplikasi. Dan ujungnya tetep masuk aplikasi yg akhirnya sama aja tetep eror. Terlebih lagi harus mengulang dari awal.
helmy muzaki,5,2022-04-14 13:30:54,"Untuk keseluruhan, Ajaib sudah sangat baik dan cocok untuk investor pemula. Kemudahan membeli dan menjual saham, serta fitur-fitur lain sangat mudah untuk di mengerti. Namun ada sedikit masukan, mungkin suatu saat Ajaib dapat menambahkan fitur total transaksi jual beli / History secara keseluruhan dan permanen pada aplikasinya, sehingga, trader dapat membaca kembali history tersebut untuk mengetahui saham saham apa saja yang pernah di beli/jual selama penggunaan aplikasi Ajaib."
Parman Tasar,1,2022-04-13 05:57:22,Parah apk sumpah. Dari tanggal 1 maret sampe sekarang tanggal 13 aprill gx bisa2 daftar selalu tertulis koneksi anda terganggu padahal sinyal gw bagus. Mana pas mau daftar tertulis NIK sudah terdaftar diacc juga blm. Ngambil data gw doang bangke. Hapus tuh data gw.
Jacinda.,5,2022-04-12 11:07:21,"Aplikasi ajaib sangat bagus, sangat mudah bagi pemula seperti saya karena ada panduan di awal. tampilannya sangat praktis dan simpel membuat saya merasa nyaman. terimakasih ajaib 👍🏻"
Splater Trust,5,2022-04-11 13:33:14,"Aplikasi yang bagus, baik dan mudah digunakan. Media yang cocok untuk nemulai investasi bagi kalangan remaja. Tampilannya menarik dan tidak membuat bingung penggunanya. Analisa yang diberikan cukup lengkap dan mudah dimengerti. Pokoknya recommended !!!"
Rifqi Alfi,1,2022-04-11 07:40:42,"gak tau lagi dah harus gimana...mau daftar aja susah. baru step awal mau unggah/foto KTP gak bisa bisa, malah balik lagi ke kamera. pas di close malah kosong lagi semua kolom yng udah di isi di step awal. bingung jg gw, gak tau memang bug dari apk atau hp gw. soalnya cuma apk ajaib doang yang gak bisa upload/foto KTP, pdahal di Bibit bisa."
PCP Kagenou,5,2022-04-11 02:58:55,"Semoga bs lebih baik dan bisa semakin dipercaya, saran saya lebih di tingkat kan untuk masalah tampilan biar lebih bagus, misal bisa edit nama sesuai selera jadi ""tabungan rumah, tabungan motor, dll"""
Cokorda Agung Mahadika,1,2022-04-09 14:19:39,Akun gagal daftar karena tidak melengkapi dokumen selama 180 hari berdampak pada tidak bisa transaksi saham Tanya bantuan chat tetapi tidak ada kejelasan kapan bisa kembali daftar ulang atau memang harus buat akun baru dgn email berbeda
Zihan Junyar,5,2022-04-08 06:15:09,"Aplikasinya bagusss, fiturnya mudah dipahami untuk para pemula yg mau memulai berinvestasi, suka bangett pokoknya."
Rahmat Saleh,5,2022-04-07 06:07:58,"Aplikasinya bagus, mudah dipahami pada saat pengaplikasiannya, cocok banget sih bagi mahasiswa yang ingin mulai berinvestasi, pokonya rekomend banget buat pemula dan pastinya aman"
Raihan Noval,5,2022-04-06 13:59:37,"Aplikasinya bagus, pengoperasiannya mudah, dan dengan adanya panduan yang mudah dipahami membuat pemula terutama mahasiswa seperti saya yang ingin belajar berinvestasi jadi lebih mengerti tentang investasi saham. Semoga Ajaib tetap memberikan yang terbaik bagi penggunanya😊"
Aceng Ahmad,5,2022-04-06 08:01:55,"Aplikasi Ajaib sangat aman dan nyaman. Mudah dalam pemakaian. Tidak membingungkan dan tampilan user interfacenya sangat user friendly. Selain Reksadana tersedia pilihan saham juga, cocok banget untuk pemula yang mau belajar investasi pokoknya.."
Adeline Wijaya,3,2022-04-05 16:19:19,"Ada apa dgn Saldo RDN diajaib? Sudah isi saldo jutaan, pesan IPO sedikit, ditulis saldo RDN tidak cukup, kecil sekali. Mau tarik nilai yg tampil juga sama, padahal sudah transfer. Tiap malam liat saldo dan power buy kadang berubah, yg bikin jantungan pagi-pagi liat portofolio pada kosong semua, keluar masuk baru muncul lagi. Running trade juga kadang tidak muncul, scalping gagal. Tapi ya Terima kasih, berkat ajaib saya berhasil belajar shopping saham IPO, sudah kejual, eh besoknya ARA lagi..."
Syifa Np,5,2022-04-05 03:04:11,Aplikasi nya keren bgtttt mantap untuk pemula yang ingin memulai investasi firturnya juga lengkap ga ribet dengan UI yang sederhana dan mudah untuk dipahami Recomended bgt pokonyaa
Azzahra Nuha02,5,2022-04-04 12:35:55,Saya suka sekali dengan fitur-fitur pada aplikasi ini karna sangat memudahkan bagi pemula. Aplikasi ini bnr bnr keren dan mudah apalagi generasi muda zaman skrng harus pinter berinvestasi.
Choridatul Chumaroh,5,2022-04-03 13:29:09,"Tampilannya menarik, registrasinya pun mudah, ukuran aplikasinya pun nggak terlalu besar, cuma untuk pengalaman investasinya belum keliatan, soalnya baru install kemarin"
Elmanda Dewi,5,2022-04-02 04:01:03,Aplikasi ini bagus dan informatif bagi seseorang ataupun mahasiswa yang ingin memulai untuk berinvestasi. Fiturnya lengkap dan chartnya cukup membantu sehingga memudahkan untuk pemula. Semoga Ajaib bisa lebih bagus dan dapat diandalkan lagi kedepannya.
arsyadi maulana,5,2022-03-31 08:56:04,"Saya mengalami masalah dalam penarikan, entah kenapa bank bsi tidak bisa melakukan penarikan dan harus registrasi pada cs. Sedangkan saya sudah hubungi cs berkali kali dan belum ada respon, cs di aplikasi maupun cs di email tidak ada respon satupun, mohon bantuannya dan masalah ini cepat diselesaikan"
ibra nurlette,1,2022-03-29 16:37:43,"chart nya masih kurang nyaman untuk di pakai di handphone, update selanjutnya coba perbaiki chartnya, tiru chart dari indodax, lebih enak klau di pakai di handphone."
ngakanastikaa.,4,2022-03-29 13:58:21,"Aplikasi mudah digunakan, tapi ketika ada pemberitahuan update, sya pergi playstore kok gaada updatenya, dan kalo habis analisis(membuat garis trend resist, suport dan sebagainya) history analisis tidak di simpan, jadi harus ngulang buat terus :)"
Herlin Sampera Marito Siagian,1,2022-03-29 11:22:58,"Satu menit saja sangat berarti bagi investor,, buruknya aplikasi Ajaib ini ya gitu,, sering eror diawal jam perdagangan.. sering sekali.. pergi ke IG nya, kolom komentar ditutup.selalu seperti itu!!! Sangat tidak menerima kritikan. Sangat tidak gentle! Tolong diperbaiki lg sistemnya. Dan utk tampilan, Ajaib ini sangat mudah dipahami bagi newbie. Tq"
Simply Truth ID,4,2022-03-29 05:56:27,"Aplikasi ini bagus simple, fitur lengkap, chart membantu, praktis dan efisien intinya. Hanya saja, untuk withdraw cepet agak sulit krn misalkan kita baru jual saham, mesti nunggu, biasanya H+2 saldo masuk RDN dan bsa ditarik. Beda sama aplikasi sekuritas saya yg satu, jual hari itu, saldonya bsa ditarik hari itu juga. Mungkin ini yg perlu dbenahi Ajaib."
halim hakim,4,2022-03-29 05:52:22,Kadang aplikasi terasa terlambat dan eror. Entah dari sistem pusata atau jaringan.. kalo bisa dibkin lancar secara real-time
arifuアリフ /,4,2022-03-29 03:47:16,"Sebenarnya sudah lengkap dan bagus aplikasinya. Ada watchlist, teknikal, dan datanya lumayan lengkap.... saran saya tolong berikan opsi di dalam aplikasi untuk mengubah kontak seperti email dan nomor telepon karena jaman sekarang kan orang sering gonta ganti nomor hp dan kadang beli hp baru emailnya buat baru lagi...... saya ingin ganti email tapi tidak bisa"
kak jalu,4,2022-03-26 15:21:02,"dari keseluruhan udah mantep sih, cuman 3 hal yang masih perlu di perbaiki. 1. saat pendaftaran akun barunya lumayan lama nungguin proses registrasinya, kalo orang yang gak sabaran pasti udah di unistal lagi. 2. saat buy atau sell tolong prosesnya dipercepat supaya harga tidak berubah lagi. ke 3, tolong jika aplikasi sedang error atau perbakan dan sbgnya, diinfoin dong jangan didiemin atau main ngilang aja, seengaknya kalo aplikasi ajaibnya bermasalah infoinya di sosmed biar pada tau kendalanya"
May Irnawan,2,2022-03-26 07:22:48,"Tolong perbaiki data-data untuk nilai aset yg diinvestasikan dengan aset portofolio yang kita miliki. Sebagai contoh : 1.Saya membeli emiten MPMX, tetapi saat ini aset saya tidak muncul di portofolio. 2. Jumlah nilai aset dari total dana yg saya investasikan ada kisaran Rp.15jtan, tetapi saat ini tertera di total nilai aset hanya kisaran 13jtan. Mohon kiranya diperbaiki masalah ini. Karna menjadi kendala untuk yg seperti sy ketika ingin menjumlah nilai aset dan atau menjumlah sumber pengeluaran."
M.hudan Hakiki,5,2022-03-24 09:28:24,"Tampilan UI bersih, informatif, dan user friendly, sehingga mudah digunakan oleh pemula. Meskipun tidak selalu update, namun analisa-analisanya cukup lengkap dan bermanfaat. Biaya fee broker relatif rendah dibanding lebih dari 50% sekuritas lain. Diversifikasi portofolio yang dimungkinkan dengan pilihan saham dan reksa dana dalam satu aplikasi. Proses pendaftaran mudah, murah, dan cepat. Keamanan data investor sangat diperhatikan"
Rendyan Putro,5,2022-03-22 01:22:54,Aplikasi nya nggak pernah bug.. Selama saya pakai 2 tahun. Konsisten. Dan selalu update fitur-fitur yang menurut saya memudahkan investor nub pemula seperti saya. Bagi yang udah pro ada fasilitas chat grup di aplikasi. Waw ini lebih dr lebih.
Lavenia H,1,2022-03-17 17:12:18,Wah gila sih ini. Saya tadi ada jual 1 emiten sebanyak 2 lot pas harganya lagi naik yakan. Eh malah sending itu orderannya. Saya coba batalin g bisa. Ya udah akhirnya buat bid baru karena kebetulan masih punya beberapa lot. Eh gak taunya 5 menit kemudian itu yg sending langsung bisa berubah jadi match dong. Mana posisinya itu kejual rugi banyak banget. Padahal niatnya dengan 2 lot bakal untung malah boncos berkali2 lipat. Warbiasa ajaib :) error kaya gini ngga sekali dua kali loh. Parah banget.
Ismail Hafidzy,5,2022-03-15 16:14:00,"Sebagai seorang mahasiswa, aplikasi ajaib sangat membantu saya dalam berinvestasi, aplikasinya dapat diakses dengan mudah dan tampilan serta panduannya pun sangat menarik sehingga mudah digunakan"
Wonder Susilo,2,2022-03-11 03:32:19,"Jujur. Saya merasa dipermainkan dengan grafik harga. Bukan hanya sekali. Namun berkali kali. Setiap saya beli, harga tidak pernah melebihi harga beli untuk menjual. Saya aktifkan auto order diharga yang sering kali turun, saya tunggu satu minggu, jangankan sentuh harga yang saya pasang, malahan bagaikan magnet yang tolak menolak. Harga makin jauh tinggi. Kalau mau ditunggu mungkin sudah kiamat dunia"
Dewi Lim,4,2022-03-09 07:19:56,Hallo kak...saya mau tyk...apakah ada perubahan menu aplikasihnya pd hari ni...kenapa harga klw naik dan waktu turun tdk terlihat..td pagi masih terlihat...wkt siang udh berubah..tolong diperbaikin lg..
Ruben Palute,5,2022-03-06 07:17:49,"Aplikasinya user friendly, buat akun gampang dan semua menunya gampang serta mudah dimengerti. Usul saja kalo bisa, bank RDN-nya jgn hanya satu tapi banyak jadi kita yg sesuaikan dgn keinginan kita."
Edo Fernando,2,2022-03-02 03:57:37,"kok mau ngelengkapin data nya agak aneh yaa.. sudah difotokan KTP nya, setelah difotokan bukannya back to menu pelengkapan data, ehh malah back ke kamera lagi.. tolong segera dibetulkan bug nya.."
Sofiatul munawwaroh,5,2022-02-24 13:58:24,"Aplikasinya sangat membantu khususnya bagi para pemula, rangkaian pendaftarannya mudah serta dilengkapi dengan fitur yang menarik. Sistemnya lancar dan aman. Selain itu terdapat panduan yang sangat membantu bagi kami yang ingin berinvestasi. Mantapp, semoga kinerja sistem dan kualitasnya lebih meningkat."
Dina Risma,5,2022-02-19 11:25:12,Tampilan ajaib ini simpel tapi keren. Dan fitur-fiturnya juga sangat membantu banget sih buat yang para senior maupun buat para pemula dunia saham. 👍
Agus Trisetyo,2,2022-02-14 12:02:04,"Saya pernah mengalami waktu treding pas harga naik dan kita jual, aplikasi ga langsung kejual dan treding masih berjalan dan ketika harga turun baru ke jual. Mungkin ga real time ya transaksi atau delay sehingga pas saham turun pas ke jual. Mohon kedepan nya app bisa realtime dalam bertransaksi..terima kasih"
bie lian,2,2022-02-13 08:26:07,"Sayangnya ajaib hanya bisa pakai rekening bank,tidak bisa pakai walet dana,yg tak punya rekening bank ya tak bisa ikut,jadi saya unistall, lagi pula registrasinya rumit, kota saya diduri tdk ada pilihan kota Durinya,Mengapa rumit ya? masih coba coba karena belum pasti mengerti cara berinvestasi, karna memang blm pernah berinvestasi, Kota tempat tgl saya tdk terdaftar(Kota Duri), Makanya unistall balik."
inamul ichsan,1,2022-02-10 16:57:00,"Saya sudah pakai aplikasi ini kurang lebih 8 bulan, awalnya aman, tapi 3-4 bulan terahir ini tiba2 jumlah Portofolio berkurang, padahal profit, tapi jumlah nya tdk bertambah. Aturan dari OJK saldo RDN bisa ditarik T+2, tiba2 dihari T nya hilang gak bisa ditarik. Bener2 aplikasi ajaib. SUDAH HUBUNGI CS dari malam hari disuruh tunggu pagi hari sbelum bursa buka, dan Hasilnya tidak ada. Dichat lagi CS nya dan hasilnya tdk ada respon.. Kira2 akan kemana uang investor? Ya lenyap laah"
sugeng riyanto,4,2022-02-09 19:40:20,"Aplikasinya bagus, dengan fee yg murah. Walaupun saat daftar akun awalnya agak susah masuk, harus menghubungi cs langsung dibantu menjadi sangat mudah. Nunggu dua hari langsung bisa beli saham dan belajar trading. Pokoknya recomended"
Agung Hermawan,3,2022-02-09 06:20:41,"Ini aplikasi nya nge bug yah?? Saya coba login ajaib di situs nya langsung bisa, tapi pas coba di login di aplikasi android nya gak bisa masuk-masuk, malah dikira email dan password salah terus"
Joye ChanneL,1,2022-02-08 04:22:20,"aplikasi kurang bagus. Masa saya gagal masuk terus padahal sudah bener Passworde sama email saya.. Terus kadang2 keluar sendiri, sekarang susah banget masuk.. Saya pengin jual terus tutup akun saja... Dari pada kaya gini terus"
Irman Budi Agung,4,2022-02-03 03:24:53,"Sy suka sekali app ini krn sangat mudah bagi pemula tapi satu yg jadi kendala saat akan mengubah rekening kenapa loading nya lama sekali dan tidak berhasil padahal sy masih punya 1 kesempatan lg dari 2 kesempatan mengubah rekening, mohon di respon ya"
Smart Boy,1,2022-01-31 08:16:52,"Ajaib makin kesini, kenapa semakin g jelas ya aplikasinya. Sering logout sendiri dan yang terbaru login dengan google saja g bisa. Padahal ketika membuat diawal memakain google. Tolong segera perbaiki. Trim"
Profile low,2,2022-01-31 02:44:30,"Kenapa data di Ajaib sekarang delay & lag parah, bid & ask nya ga gerak kecuali pindah menu dulu baru berubah angka bid & asknya (refresh), itu pun masih diam ga gerak, kecuali pindah menu lg baru berubah lagi. Perbaiki dong, ini bukan masalah jaringan, ini masalah server atau bug aplikasi, saya punya aplikasi sekuritas lain selain ajaib, aplikasi sekuritas lain berfungsi dengan baik. Bid & asknya realtime bergerak."
gak tau,3,2022-01-28 05:12:18,"Mau verifikasi ktp tidak bisa di kirim pas sudah tahab ke 6(terakhir), sesalu ada popup jaringan bermasalah, pas di keluar dari apk dan masuk lagi gitu lagi minta di verifikasi tpi pas tahap akhir gk bisa terkirim identitasnya, tolong di perbaiki ntar ku tambahin bintangnya."
Darus Permana putra,5,2022-01-27 16:26:27,"Dengan app 🧞ajaib saya merasa sangat... Dimudah kan sekali Dalam berinvestasi di saham📊 banyak fitur"" 🗃️ Yang membantu sekali pagi pemula... tampilan yang simpel mudah dipahami dan paling komplit untuk menganalisis suatu incaran Cs. nya juga ramah🥰 respon cepat👍"
pwjnnn,5,2022-01-27 05:27:52,"aplikasinya bagus, mudah dalam pengoperasiannya dan para pemula yang ingin belajar investasi pun senang karena terdapat panduan didalamnya. semoga tetap konsisten, dan akan lebih baik lagi dapat meningkatkan Kualitas aplikasinya."
Yuni Anggraeni,5,2022-01-27 04:57:03,Wowww ini aplikasi sangat bagus buat investasi kalian cukup mengandalkan uang kita punya terus transaksinya juga mudah banget ga bikin ribet deh. Terus di aplikasi ini terdapat banyak sekali fitur fitur yang dapat memudahkan dalam segala transaksi. Pokoknya ini app the best banget dehh👍
Nopita Sari,5,2022-01-26 10:49:25,"Aplikasi ini bagus dan menarik, membantu kita para pemula yang ingin memulai investasi. Aplikasi ini recommended ramah bagi pemula karena menyediakan banyak pilhan saham dan Reksadana. Tampilan aplikasi bagus dan tidak sulit untuk dipahami"
Nurul Indri Farida,5,2022-01-26 03:23:58,Aplikasi ini sangat mudah untuk diaksesnya bahkan mudah dalam pendaftarannya pun. Selain itu terdapat pula forum untuk bertanya atau berdiskusi dengan pengguna ajaib yang lainnya. Aplikasi ini juga bisa buka rekening saham tanpa deposit dana awal sehingga dapat mempermudah bagi penggunanya.
A_067_Reza Salsabila,5,2022-01-18 12:40:41,"aplikasinya bagus dan bermanfaat, ga membuat bingung pemula jugaa karna tampilannya yang mudah dimengerti dan tersedia petunjuk teknis nyaa, jadi makin semangat buat berinvest!"
Dede Wijaya,1,2022-01-18 00:51:45,"Dear aplikasi ajaib .. saya sudah invest selama 2 bulan, kemuadian saya coba tarik dana ke rek terdaftar, sudah ada pemberitahuan melalui kotak masuk bauwa transfer sudah dilakukan ke rek terdaftar, tp uang belum masuk sampai saat ini.. saya chat CS ajaib, tidak ada tanggapan.. cm minta alamat e mail saja terakhir mrk chat, mohon penjelasannya."
Okta Lumakeki,1,2022-01-15 04:16:56,"Mohon untuk di tingkatkan performa aplikasinya.. sya pengguna baru yg ingin coba gunakan aplikasi ini untuk belajar saham dan investasi.. tapi untuk pendaftaran akunnya saja sulit..sdh di langkah ke-6, pengisian tanda tangan sesuai ktp malah selalu muncul log ""koneksi terganggu, silahkan coba lagi"" padahal koneksi internetnya baik baik saja..tidak ada kendala sama sekali. Bintang 1-nya sebagai semangat ya.. agar bisa memperbaiki bug yg ada. Terima kasih."
Gani Gagah Nugraha,5,2022-01-15 02:06:35,"Bagus aplikasinya, sangat mudah dan user friendly juga bisa jadi sarana untuk investasi jangka panjang apalagi untuk generasi muda sipp pokonya ajaib sangat membantu dalam keuangan👍🏻"
Maey Gita,5,2022-01-15 01:50:19,"Aplikasinya bagus. User frendly dan ga ribet. Saham yang ditawarkan perusahan perusahan terpercaya dan udah di awasi oleh ojk yang pastinya aman. Menu di aplikasi nya juga mudah dimengerti, jadi buat yang masih pemula bisa mulai tanpa harus pusing. Kerenn"
aniq masruroh,5,2022-01-12 09:05:18,"Baru nyoba udah seneng banget sama aplikasi ini. Bagi pemula enak ada panduannya, terus juga mudah dan langsung bisa dipakai. Semoga selalu meningkat fitur-fitur nya"
Ceisya Kalyana,1,2022-01-10 04:01:41,"1 .Sangat lama dalam bertransaksi, beli ato sel, terlalu lama menunggu booss, tolong segera dipercepat, waktu transaksinya, open melulu lama untuk macth, padahal harganya saham yg diinginkan sudah itu, 2. Penarikan sebagian dana yg diporeh juga gak bisa, gak bisa masuk ke RDNku boss, minta tolong segera diperbaiki kendala kendala ini boss, biar yg make aplikasi ini tambah banyak"
Verani Rozalia,1,2022-01-10 02:23:37,"Salah satu sekuritas yang membantu retail boncos, mau CL ga bisa sering eroorrrrrrrrrrr!! Udah Cuan ga bisa TP juga. Bukan cuman sekali dua kali, berpuluh - puluh kali! dapat suntikan dana modal bukannya fokus kembangin system malah fokus sama referal2an. Buat yang mau instal ini app, pikir 2 kali bro/sis.. Good bye AJEIB!"
Fauzi Foreverz,1,2022-01-07 07:14:07,"Saya sudah download dan registrasi tapi sudah 3 minggu blm approve, di notifikasi aplikasi tertulis ""data sedang diperiksa butuh 4-5 hari kerja, dst..."", setelah sy email ternyata ada masalah kebijakan di bank RDN dan proses registrasi tidak bisa dilanjutkan... sampai saat ini belum ada penjelasan apa masalah nya registrasi tidak bisa dilanjutkan, apakah data ada yg salah atau ada saldo minimal di rekening masih belum jelas... jadi saya uninstall dulu deh aplikasinya"
Ibadh Dwi SH,1,2022-01-04 04:12:45,"Tolong dong ini saya mau melakulan perubahan norek udah ada 2 minggu lebih ko gak berubah berubah :( minta tolong bantuan nya.. Di aplikasi sebelah kayak bibit, nambah rekening aja gampang banget, disini susah nyaa ya Allah :("
